,model,epochs,batch_size,initial_lr,fold,train_examples,sampling,train_time,test_time,filename,f1,precision,recall,bal_acc
0,ABLE,50.0,128.0,0.0001,1,114717.0,NONE,711.7123501300812,1.1855924129486084,../results/dl/ABLE_NONE_1_50_128.npy,0.2224047976886238,0.474381931333223,0.20385213602142743,0.20385213602142743
1,ABLE,50.0,128.0,0.0001,1,520702.0,SMOTE,3650.07115483284,1.196382761001587,../results/dl/ABLE_SMOTE_1_50_128.npy,0.7941801517750792,0.7945483397212444,0.7978038040005756,0.7978038040005756
2,ABLE,50.0,128.0,0.0001,2,114717.0,NONE,741.327867269516,1.2336938381195068,../results/dl/ABLE_NONE_2_50_128.npy,0.21919336517018714,0.6027565768001625,0.19991059327371205,0.19991059327371205
3,ABLE,50.0,128.0,0.0001,2,520702.0,SMOTE,3730.469363927841,1.3170013427734375,../results/dl/ABLE_SMOTE_2_50_128.npy,0.8209692905003304,0.8294321913220044,0.8154375230870541,0.8154375230870541
4,ABLE,50.0,128.0,0.0001,3,114717.0,NONE,788.9960360527039,1.2042417526245117,../results/dl/ABLE_NONE_3_50_128.npy,0.25438246227190336,0.528909823569208,0.22224156660144273,0.22224156660144273
5,ABLE,50.0,128.0,0.0001,3,520702.0,SMOTE,3724.3304975032806,1.6943693161010742,../results/dl/ABLE_SMOTE_3_50_128.npy,0.8377846275954951,0.8539765823863796,0.8246319288337526,0.8246319288337526
6,ABLE,50.0,128.0,0.0001,4,114717.0,NONE,791.7307183742523,1.6379873752593994,../results/dl/ABLE_NONE_4_50_128.npy,0.2790327683179759,0.5059631617587911,0.24237513251174075,0.24237513251174075
7,ABLE,50.0,128.0,0.0001,4,520709.0,SMOTE,3991.484924554825,1.1994993686676025,../results/dl/ABLE_SMOTE_4_50_128.npy,0.8370157904845751,0.8385488150025565,0.8359202848350346,0.8359202848350346
8,ABLE,50.0,128.0,0.0001,5,114718.0,NONE,770.0015187263489,1.2044553756713867,../results/dl/ABLE_NONE_5_50_128.npy,0.3411219179144157,0.6885314691354034,0.28570587138692005,0.28570587138692005
9,ABLE,50.0,128.0,0.0001,5,520709.0,SMOTE,3734.2784900665283,1.1820716857910156,../results/dl/ABLE_SMOTE_5_50_128.npy,0.8398977154019469,0.8444436139676997,0.8381132867311852,0.8381132867311852
10,ABLE,50.0,128.0,0.0001,6,114718.0,NONE,758.2709901332855,1.3239521980285645,../results/dl/ABLE_NONE_6_50_128.npy,0.2789708138753921,0.7098005480833985,0.23786195172051644,0.23786195172051644
11,ABLE,50.0,128.0,0.0001,6,520709.0,SMOTE,3727.2525815963745,1.2186088562011719,../results/dl/ABLE_SMOTE_6_50_128.npy,0.8510563936488901,0.8604624277707299,0.8421226027502787,0.8421226027502787
12,ABLE,50.0,128.0,0.0001,7,114718.0,NONE,759.5596284866333,1.1991257667541504,../results/dl/ABLE_NONE_7_50_128.npy,0.2660065846103332,0.5455533570927621,0.2308981240530752,0.2308981240530752
13,ABLE,50.0,128.0,0.0001,7,520709.0,SMOTE,3726.4539110660553,1.2075564861297607,../results/dl/ABLE_SMOTE_7_50_128.npy,0.8466460699458518,0.8426456430741168,0.8512272136994176,0.8512272136994176
14,ABLE,50.0,128.0,0.0001,8,114718.0,NONE,750.7343349456787,1.3292148113250732,../results/dl/ABLE_NONE_8_50_128.npy,0.22678654240474055,0.6061987502351235,0.20329263602054157,0.20329263602054157
15,ABLE,50.0,128.0,0.0001,8,520709.0,SMOTE,3733.3795092105865,1.328429937362671,../results/dl/ABLE_SMOTE_8_50_128.npy,0.855354118194219,0.8726599656971669,0.8413374813781521,0.8413374813781521
16,ABLE,50.0,128.0,0.0001,9,114718.0,NONE,750.8345377445221,1.2049274444580078,../results/dl/ABLE_NONE_9_50_128.npy,0.2717039288277853,0.5551639801594226,0.23537564597008478,0.23537564597008478
17,ABLE,50.0,128.0,0.0001,9,520709.0,SMOTE,3735.3576834201813,1.1982450485229492,../results/dl/ABLE_SMOTE_9_50_128.npy,0.8554146004421401,0.8639691023378295,0.8479347334469276,0.8479347334469276
18,ABLE,50.0,128.0,0.0001,10,114718.0,NONE,755.3524782657623,1.2998197078704834,../results/dl/ABLE_NONE_10_50_128.npy,0.2514137324916638,0.560019235198849,0.21965545104095888,0.21965545104095888
19,ABLE,50.0,128.0,0.0001,10,520709.0,SMOTE,3746.1362154483795,1.2318799495697021,../results/dl/ABLE_SMOTE_10_50_128.npy,0.8001508298129509,0.7878072161473492,0.8142657688034591,0.8142657688034591
20,PassiveAggressiveClassifier,,,,1,,NONE,6.974570274353027,0.16796565055847168,,0.1788094151114116,0.3467912392572477,0.19324009290123553,0.19324009290123553
21,Perceptron,,,,1,,NONE,3.222280263900757,0.013608932495117188,,0.13443867017251204,0.2550750538999285,0.15108198231929174,0.15108198231929174
22,RidgeClassifier,,,,1,,NONE,0.6434366703033447,0.007393836975097656,,0.14630671914307056,0.2649206276690401,0.15619174505839345,0.15619174505839345
23,SGDClassifier,,,,1,,NONE,39.14766836166382,0.013822078704833984,,0.20397711638358113,0.2774763304286064,0.2608008859608105,0.2608008859608105
24,LogisticRegression,,,,1,,NONE,18.08703374862671,0.017410755157470703,,0.2057964008129999,0.2504413674557018,0.197206122010224,0.197206122010224
25,LinearDiscriminantAnalysis,,,,1,,NONE,7.834731340408325,0.034514427185058594,,0.24526221199863377,0.3879057644287576,0.22375907044666482,0.22375907044666482
26,QuadraticDiscriminantAnalysis,,,,1,,NONE,4.62436318397522,0.2427690029144287,,0.3524955999656615,0.38510768400085676,0.5929833927502409,0.5929833927502409
27,BernoulliNB,,,,1,,NONE,0.35819220542907715,0.07241272926330566,,0.17906930043943267,0.22089000913553344,0.2464880635298228,0.2464880635298228
28,GaussianNB,,,,1,,NONE,0.23749208450317383,0.14679837226867676,,0.043002410508039775,0.17470662672976914,0.17240560659663431,0.17240560659663431
29,KNeighborsClassifier,,,,1,,NONE,4.228935956954956,166.18125796318054,,0.6920272848455701,0.7536052746687202,0.6464691794012447,0.6464691794012447
30,NearestCentroid,,,,1,,NONE,0.0658419132232666,0.03770756721496582,,0.15773238741687132,0.19206985751117883,0.2231940422032292,0.2231940422032292
